timestep,oat_mse,enriched_mse
2.630000000000000000e+02,2.906430403864245227e-01,2.677995825434918431e-01
2.640000000000000000e+02,2.854647936751160131e-01,2.719043727211360451e-01
2.650000000000000000e+02,2.817636560928726275e-01,2.701091154452592291e-01
2.660000000000000000e+02,2.852873756614013323e-01,2.659800932899477610e-01
2.670000000000000000e+02,2.803656000182417896e-01,2.611780427206303878e-01
2.680000000000000000e+02,2.782486439016088053e-01,2.591181767162129002e-01
2.690000000000000000e+02,2.846147505497794161e-01,2.557493933903532413e-01
2.700000000000000000e+02,2.881152097918825983e-01,2.688622214606367078e-01
2.710000000000000000e+02,2.929658340296181773e-01,2.723437903232353574e-01
2.720000000000000000e+02,2.954095691810383895e-01,2.711611498446572788e-01
2.730000000000000000e+02,3.095918779966211343e-01,2.779787375188337850e-01
2.740000000000000000e+02,3.087363222133100993e-01,2.769789120383019942e-01
2.750000000000000000e+02,3.098769513040185442e-01,3.021219077421644084e-01
2.760000000000000000e+02,3.139590293039614677e-01,2.930394739891847844e-01
2.770000000000000000e+02,2.939715325609761898e-01,2.917454488141749680e-01
2.780000000000000000e+02,2.895362662394431741e-01,2.791276106717910932e-01
2.790000000000000000e+02,2.916873344878289087e-01,2.810456392262285497e-01
2.800000000000000000e+02,3.040995868110890621e-01,2.826472400460298129e-01
2.810000000000000000e+02,3.085327377516148273e-01,2.848257209860533545e-01
2.820000000000000000e+02,3.075963545764409668e-01,2.867342273943894737e-01
2.830000000000000000e+02,3.234337358840769783e-01,2.971979767036626030e-01
2.840000000000000000e+02,3.240978404615119102e-01,3.025416361250132802e-01
2.850000000000000000e+02,3.294734956017676408e-01,2.937025276546968433e-01
2.860000000000000000e+02,3.423320763450882209e-01,2.993634865108805720e-01
2.870000000000000000e+02,3.485908226866560877e-01,2.931760297042397823e-01
2.880000000000000000e+02,3.695368401584675500e-01,3.115976924417314109e-01
2.890000000000000000e+02,3.708988620901654820e-01,3.081107170083986491e-01
2.900000000000000000e+02,3.747669379277040469e-01,3.129333659657589917e-01
2.910000000000000000e+02,3.713161387949037162e-01,3.114744265920449950e-01
2.920000000000000000e+02,3.805202508600014077e-01,2.953850357363612678e-01
2.930000000000000000e+02,3.502950939206027625e-01,2.957996564069382828e-01
2.940000000000000000e+02,3.644948473295618885e-01,2.949084337653022359e-01
2.950000000000000000e+02,3.647216344367855134e-01,2.931191880042407494e-01
2.960000000000000000e+02,3.634011984697831932e-01,2.922396263764691637e-01
2.970000000000000000e+02,3.630677046229497940e-01,2.913286907459092800e-01
2.980000000000000000e+02,3.685822591362219458e-01,2.897893157459678348e-01
2.990000000000000000e+02,3.767511758098939789e-01,2.920717049709778412e-01
3.000000000000000000e+02,3.816381151272515981e-01,2.936903060994643933e-01
3.010000000000000000e+02,3.851454838612375364e-01,2.924816952680056592e-01
3.020000000000000000e+02,3.930505625688283655e-01,2.952836424369366108e-01
3.030000000000000000e+02,4.320033815333261806e-01,2.767344374842983790e-01
3.040000000000000000e+02,3.793996464554799108e-01,2.854938954365572323e-01
3.050000000000000000e+02,3.750083994509602614e-01,2.752784311200219824e-01
3.060000000000000000e+02,3.780488780606596766e-01,2.711203931417483504e-01
3.070000000000000000e+02,3.882324832472058840e-01,2.886841965456399817e-01
3.080000000000000000e+02,3.944698459422539827e-01,2.883438706989305267e-01
3.090000000000000000e+02,3.958791161554431892e-01,2.870481153700633614e-01
3.100000000000000000e+02,3.978731589351844899e-01,2.831296200782680295e-01
3.110000000000000000e+02,4.183034144710824354e-01,2.759702290103436817e-01
3.120000000000000000e+02,4.102143845930146249e-01,2.817572800178989034e-01
3.130000000000000000e+02,4.107856689962257613e-01,2.810884803400323095e-01
3.140000000000000000e+02,4.032454323315080580e-01,2.903579404842233647e-01
3.150000000000000000e+02,3.830535587144388021e-01,2.922897250453014850e-01
3.160000000000000000e+02,3.790196966420464886e-01,2.805656094844582449e-01
3.170000000000000000e+02,3.808987692774341571e-01,2.435658818272718740e-01
